,movieId,person_name,role
0,19995,Sam Worthington,Jake Sully
1,19995,Zoe Saldana,Neytiri
2,19995,Sigourney Weaver,Dr. Grace Augustine
3,19995,Stephen Lang,Col. Quaritch
4,19995,Michelle Rodriguez,Trudy Chacon
5,19995,Giovanni Ribisi,Selfridge
6,19995,Joel David Moore,Norm Spellman
7,19995,CCH Pounder,Moat
8,19995,Wes Studi,Eytukan
9,19995,Laz Alonso,Tsu'Tey
10,19995,Scott Lawrence,Venture Star Crew Chief
11,19995,Peter Mensah,Horse Clan Leader
12,19995,Terry Notary,Banshee (uncredited)
13,285,Johnny Depp,Captain Jack Sparrow
14,285,Orlando Bloom,Will Turner
15,285,Keira Knightley,Elizabeth Swann
16,285,Stellan Skarsgård,"William ""Bootstrap Bill"" Turner"
17,285,Chow Yun-fat,Captain Sao Feng
18,285,Bill Nighy,Captain Davy Jones
19,285,Geoffrey Rush,Captain Hector Barbossa
20,285,Jack Davenport,Admiral James Norrington
21,285,Kevin McNally,Joshamee Gibbs
22,285,Tom Hollander,Lord Cutler Beckett
23,285,Naomie Harris,Tia Dalma
24,285,Jonathan Pryce,Governor Weatherby Swann
25,285,Mackenzie Crook,Ragetti
26,285,Greg Ellis,Lieutenant Theodore Groves
27,285,David Bailie,Cotton
28,285,Martin Klebba,Marty
29,285,David Schofield,Ian Mercer
30,285,Angus Barnett,Mullroy
31,285,Reggie Lee,Tai Huang
32,285,Andy Beckwith,Clacker
33,206647,Daniel Craig,James Bond
34,206647,Christoph Waltz,Blofeld
35,206647,Léa Seydoux,Madeleine
36,206647,Ralph Fiennes,M
37,206647,Monica Bellucci,Lucia
38,206647,Ben Whishaw,Q
39,206647,Naomie Harris,Moneypenny
40,206647,Dave Bautista,Hinx
41,206647,Jesper Christensen,Mr. White
42,206647,Judi Dench,M (uncredited)
43,49026,Christian Bale,Bruce Wayne / Batman
44,49026,Michael Caine,Alfred Pennyworth
45,49026,Gary Oldman,James Gordon
46,49026,Anne Hathaway,Selina Kyle / Catwoman
47,49026,Tom Hardy,Bane
48,49026,Marion Cotillard,Miranda Tate
49,49026,Joseph Gordon-Levitt,Blake
